Department,Districts,Monthregister,Fund,Rangeincome,Register
SMA-IPA,KOTA PONTIANAK,May,ORANG TUA,3.000.001 - 5.000.000,N
SMA-IPS,KOTA SINGKAWANG,May,ORANG TUA,2.000.001 - 3.000.000,Y
SMA-IPS,KABUPATEN MELAWI,May,ORANG TUA,> 5.000.000,Y
SMA-IPA,KABUPATEN KUBU RAYA,May,ORANG TUA,< 500.000,N
SMA-IPS,KABUPATEN SEKADAU,May,ORANG TUA,1.500.001 - 2.000.000,N
SMA-IPS,KOTA PONTIANAK,May,ORANG TUA,> 5.000.000,N
MA IPS,KABUPATEN MELAWI,May,ORANG TUA,< 500.000,N
MA IPA,KABUPATEN KAPUAS HULU,May,ORANG TUA,> 5.000.000,Y
SMA-IPS,KABUPATEN KAPUAS HULU,May,ORANG TUA,1.000.001 - 1.500.000,N
SMA-IPS,KOTA PONTIANAK,May,ORANG TUA,> 5.000.000,N
SMA-IPS,KOTA PONTIANAK,May,ORANG TUA,> 5.000.000,Y
PAKET C,KABUPATEN SAMBAS,May,ORANG TUA,3.000.001 - 5.000.000,Y
MA AGAMA,KOTA SINGKAWANG,May,ORANG TUA,2.000.001 - 3.000.000,Y
MA IPA,KOTA SINGKAWANG,May,ORANG TUA,< 500.000,Y
SMA AGAMA,KOTA SINGKAWANG,May,ORANG TUA,500.001 - 1.000.000,N
SMA-IPS,KABUPATEN KETAPANG,May,ORANG TUA,< 500.000,Y
SMA-IPA,KABUPATEN KAPUAS HULU,May,ORANG TUA,< 500.000,N
SMA AGAMA,KOTA SINGKAWANG,May,ORANG TUA,2.000.001 - 3.000.000,Y
SMA-IPS,KABUPATEN KUBU RAYA,May,ORANG TUA,500.001 - 1.000.000,Y
SMA-IPS,KABUPATEN SEKADAU,May,BEASISWA,3.000.001 - 5.000.000,N
SMK-MEKANIK,KOTA PONTIANAK,May,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPS,KOTA PONTIANAK,May,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPA,KABUPATEN SAMBAS,May,ORANG TUA,1.000.001 - 1.500.000,N
MA AGAMA,KABUPATEN SINTANG,May,ORANG TUA,1.500.001 - 2.000.000,Y
SMA-IPA,KABUPATEN KETAPANG,May,ORANG TUA,> 5.000.000,Y
MA IPA,KOTA PONTIANAK,May,ORANG TUA,> 5.000.000,Y
SMA-IPA,KABUPATEN KETAPANG,May,ORANG TUA,3.000.001 - 5.000.000,N
SMK INFORMATIKA,KABUPATEN KAPUAS HULU,May,ORANG TUA,500.001 - 1.000.000,N
SMA-IPA,KABUPATEN KUBU RAYA,May,ORANG TUA,2.000.001 - 3.000.000,N
SMA-IPS,KABUPATEN BENGKAYANG,May,ORANG TUA,1.000.001 - 1.500.000,N
STM-MESIN,KABUPATEN KETAPANG,May,ORANG TUA,500.001 - 1.000.000,Y
SMK Perkantoran,KABUPATEN LANDAK,May,ORANG TUA,500.001 - 1.000.000,N
SMA-IPS,KOTA PONTIANAK,May,ORANG TUA,> 5.000.000,Y
SMA-IPS,KABUPATEN KUBU RAYA,May,ORANG TUA,> 5.000.000,N
SMK AKUNTANSI,KOTA PONTIANAK,May,ORANG TUA,1.000.001 - 1.500.000,N
SMA-IPA,KOTA PONTIANAK,May,ORANG TUA,> 5.000.000,Y
SMA-IPA,KABUPATEN SANGGAU,May,ORANG TUA,< 500.000,N
SMA AGAMA,KABUPATEN KAPUAS HULU,May,ORANG TUA,< 500.000,N
SMA-IPS,KOTA PONTIANAK,May,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPS,KOTA SINGKAWANG,May,ORANG TUA,2.000.001 - 3.000.000,N
SMA-IPS,KABUPATEN SAMBAS,May,ORANG TUA,500.001 - 1.000.000,N
STM-LISTRIK,KABUPATEN SINTANG,May,ORANG TUA,1.000.001 - 1.500.000,Y
SMA-IPS,KABUPATEN MELAWI,May,ORANG TUA,500.001 - 1.000.000,Y
SMK AKUNTANSI,KOTA PONTIANAK,May,ORANG TUA,2.000.001 - 3.000.000,N
SMA-IPA,KABUPATEN KUBU RAYA,May,ORANG TUA,500.001 - 1.000.000,N
SMA-IPS,KOTA PONTIANAK,May,ORANG TUA,2.000.001 - 3.000.000,Y
SMA-IPS,KOTA SINGKAWANG,May,ORANG TUA,500.001 - 1.000.000,Y
SMA-IPA,KABUPATEN SAMBAS,May,ORANG TUA,1.500.001 - 2.000.000,N
SMA-IPA,KABUPATEN SINTANG,May,ORANG TUA,1.500.001 - 2.000.000,N
SMA-IPS,KABUPATEN MELAWI,May,ORANG TUA,< 500.000,N
SPK KEPERAWATAN,KABUPATEN KAYONG UTARA,May,ORANG TUA,1.000.001 - 1.500.000,Y
SMA-IPS,KABUPATEN SANGGAU,May,ORANG TUA,1.500.001 - 2.000.000,N
SMA-IPA,KABUPATEN SANGGAU,May,ORANG TUA,2.000.001 - 3.000.000,N
SMA-IPS,KABUPATEN LANDAK,May,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPA,KOTA PONTIANAK,May,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPS,KABUPATEN KUBU RAYA,May,ORANG TUA,< 500.000,Y
SMK INFORMATIKA,KOTA PONTIANAK,May,ORANG TUA,2.000.001 - 3.000.000,Y
SMA-IPA,KOTA PONTIANAK,May,ORANG TUA,3.000.001 - 5.000.000,Y
MA IPA,KABUPATEN SAMBAS,May,ORANG TUA,3.000.001 - 5.000.000,N
MA IPS,KOTA PONTIANAK,May,ORANG TUA,2.000.001 - 3.000.000,Y
SMA-IPS,KABUPATEN KETAPANG,May,ORANG TUA,500.001 - 1.000.000,Y
SMA-IPS,KABUPATEN KETAPANG,May,ORANG TUA,< 500.000,N
SMA-IPA,KABUPATEN LANDAK,May,ORANG TUA,< 500.000,Y
PAKET C,KOTA PONTIANAK,May,ORANG TUA,> 5.000.000,Y
SMK PARIWISATA,KOTA PONTIANAK,May,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPA,KOTA PONTIANAK,May,ORANG TUA,1.500.001 - 2.000.000,Y
SMA-IPA,KOTA PONTIANAK,June,ORANG TUA,1.500.001 - 2.000.000,N
SMA-IPS,KABUPATEN KUBU RAYA,June,ORANG TUA,500.001 - 1.000.000,Y
SMA-IPS,KOTA PONTIANAK,June,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPS,KABUPATEN SAMBAS,June,ORANG TUA,3.000.001 - 5.000.000,N
SMA-IPA,KABUPATEN SANGGAU,June,ORANG TUA,2.000.001 - 3.000.000,N
SMA-IPS,KABUPATEN KETAPANG,June,ORANG TUA,< 500.000,Y
SMA-IPS,KABUPATEN KETAPANG,June,ORANG TUA,1.000.001 - 1.500.000,Y
SMA-IPS,KABUPATEN KETAPANG,June,ORANG TUA,1.000.001 - 1.500.000,Y
SMA-IPA,KABUPATEN KAPUAS HULU,June,ORANG TUA,500.001 - 1.000.000,Y
MA IPA,KABUPATEN MELAWI,June,ORANG TUA,1.000.001 - 1.500.000,Y
SMA-IPA,KABUPATEN KAYONG UTARA,June,ORANG TUA,500.001 - 1.000.000,N
SMK BISNIS MANAJEMEN,KOTA PONTIANAK,June,ORANG TUA,1.000.001 - 1.500.000,N
SMA-IPA,KOTA SINGKAWANG,June,ORANG TUA,2.000.001 - 3.000.000,N
SMKI/SMIK,KABUPATEN KAPUAS HULU,June,ORANG TUA,1.500.001 - 2.000.000,Y
SMA-IPS,KOTA PONTIANAK,June,ORANG TUA,3.000.001 - 5.000.000,N
SMA-IPS,KABUPATEN KUBU RAYA,June,ORANG TUA,> 5.000.000,Y
SMA-IPA,KOTA SINGKAWANG,June,ORANG TUA,2.000.001 - 3.000.000,N
SMA-IPS,KABUPATEN SAMBAS,June,ORANG TUA,1.000.001 - 1.500.000,N
SMA-IPS,KABUPATEN KETAPANG,June,ORANG TUA,1.500.001 - 2.000.000,Y
SMA-IPA,KABUPATEN SINTANG,June,ORANG TUA,1.000.001 - 1.500.000,Y
SMA-IPS,KABUPATEN SINTANG,June,ORANG TUA,1.000.001 - 1.500.000,Y
SMA-IPA,KABUPATEN KAPUAS HULU,June,ORANG TUA,1.000.001 - 1.500.000,Y
SMA-IPS,KABUPATEN KAPUAS HULU,June,ORANG TUA,500.001 - 1.000.000,N
SMA-IPS,KABUPATEN LANDAK,June,ORANG TUA,2.000.001 - 3.000.000,Y
SMA-IPS,KABUPATEN KAYONG UTARA,June,ORANG TUA,1.000.001 - 1.500.000,Y
SMA-IPS,KOTA SINGKAWANG,June,ORANG TUA,> 5.000.000,N
SMA-IPS,KOTA SINGKAWANG,June,ORANG TUA,> 5.000.000,Y
MA IPA,KOTA SINGKAWANG,June,ORANG TUA,2.000.001 - 3.000.000,N
SPK KEPERAWATAN,KABUPATEN MELAWI,June,ORANG TUA,< 500.000,N
SMA-IPA,KOTA PONTIANAK,June,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPS,KOTA PONTIANAK,June,ORANG TUA,> 5.000.000,N
MA AGAMA,KOTA SINGKAWANG,June,ORANG TUA,3.000.001 - 5.000.000,N
MA AGAMA,KOTA SINGKAWANG,June,ORANG TUA,1.000.001 - 1.500.000,N
SMA-IPS,KABUPATEN SANGGAU,June,ORANG TUA,3.000.001 - 5.000.000,N
SMK INFORMATIKA,KABUPATEN SINTANG,June,ORANG TUA,1.500.001 - 2.000.000,Y
SMA-IPS,KABUPATEN KUBU RAYA,June,ORANG TUA,< 500.000,N
SMK INFORMATIKA,KOTA PONTIANAK,June,BEKERJA SENDIRI,2.000.001 - 3.000.000,N
SMK-PERHOTELAN,KABUPATEN SAMBAS,June,ORANG TUA,500.001 - 1.000.000,N
STM-MESIN,KOTA SINGKAWANG,June,ORANG TUA,3.000.001 - 5.000.000,N
SMK INFORMATIKA,KABUPATEN SINTANG,June,ORANG TUA,1.500.001 - 2.000.000,Y
SMA-IPS,KABUPATEN SINTANG,June,ORANG TUA,2.000.001 - 3.000.000,N
SMA-IPS,KABUPATEN KAPUAS HULU,June,ORANG TUA,2.000.001 - 3.000.000,Y
SMA-IPA,KABUPATEN KAPUAS HULU,June,ORANG TUA,1.500.001 - 2.000.000,Y
SMA-IPA,KABUPATEN SEKADAU,June,ORANG TUA,> 5.000.000,N
SMA-IPA,KABUPATEN KAYONG UTARA,June,ORANG TUA,2.000.001 - 3.000.000,Y
SMA-IPS,KABUPATEN KAYONG UTARA,June,ORANG TUA,500.001 - 1.000.000,N
SMA-IPS,KABUPATEN KUBU RAYA,June,ORANG TUA,3.000.001 - 5.000.000,N
SMA-IPA,KABUPATEN KUBU RAYA,June,ORANG TUA,1.000.001 - 1.500.000,Y
SMA-IPA,KOTA SINGKAWANG,June,ORANG TUA,1.000.001 - 1.500.000,N
SMA AGAMA,KABUPATEN SAMBAS,June,ORANG TUA,500.001 - 1.000.000,N
SMA-IPS,KABUPATEN SANGGAU,June,ORANG TUA,500.001 - 1.000.000,N
SMA-IPS,KABUPATEN SINTANG,June,ORANG TUA,2.000.001 - 3.000.000,Y
SMA-IPS,KABUPATEN SINTANG,June,ORANG TUA,2.000.001 - 3.000.000,N
SMA-IPS,KABUPATEN KAPUAS HULU,June,ORANG TUA,1.500.001 - 2.000.000,N
SMA-IPS,KABUPATEN MELAWI,June,ORANG TUA,< 500.000,N
SMA AGAMA,KOTA SINGKAWANG,June,ORANG TUA,> 5.000.000,Y
SMK-MEKANIK,KABUPATEN MEMPAWAH,June,ORANG TUA,2.000.001 - 3.000.000,Y
SMA-IPS,KABUPATEN MEMPAWAH,June,ORANG TUA,< 500.000,Y
SMK PERTANIAN,KABUPATEN KETAPANG,June,ORANG TUA,1.000.001 - 1.500.000,N
SMA-IPS,KABUPATEN SINTANG,June,ORANG TUA,< 500.000,Y
MA IPS,KABUPATEN KAPUAS HULU,June,ORANG TUA,500.001 - 1.000.000,N
MA IPA,KABUPATEN MELAWI,June,ORANG TUA,1.500.001 - 2.000.000,N
MA IPS,KABUPATEN KAYONG UTARA,June,ORANG TUA,1.500.001 - 2.000.000,N
SMK Perkantoran,KOTA PONTIANAK,June,ORANG TUA,500.001 - 1.000.000,Y
SMA-IPS,KOTA PONTIANAK,June,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPA,KABUPATEN SAMBAS,June,ORANG TUA,2.000.001 - 3.000.000,N
SMA-IPS,KABUPATEN SAMBAS,June,ORANG TUA,2.000.001 - 3.000.000,N
SMA-IPS,KABUPATEN SINTANG,June,ORANG TUA,> 5.000.000,Y
SMA-IPS,KABUPATEN KAPUAS HULU,June,ORANG TUA,< 500.000,N
MA IPA,KABUPATEN MEMPAWAH,June,ORANG TUA,3.000.001 - 5.000.000,N
SMA-IPS,KABUPATEN KAPUAS HULU,June,ORANG TUA,1.000.001 - 1.500.000,Y
SMA-IPS,KABUPATEN MELAWI,June,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPA,KABUPATEN KAYONG UTARA,June,ORANG TUA,3.000.001 - 5.000.000,N
MA IPA,KOTA PONTIANAK,June,ORANG TUA,2.000.001 - 3.000.000,N
SMA-IPA,KABUPATEN KUBU RAYA,June,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPS,KABUPATEN KAPUAS HULU,June,ORANG TUA,< 500.000,Y
STM-MESIN,KABUPATEN MELAWI,June,ORANG TUA,2.000.001 - 3.000.000,Y
SMA-IPS,KABUPATEN KAYONG UTARA,June,ORANG TUA,2.000.001 - 3.000.000,Y
SMA-IPA,KABUPATEN KAYONG UTARA,June,ORANG TUA,2.000.001 - 3.000.000,N
SMA-IPA,KABUPATEN KAYONG UTARA,June,ORANG TUA,500.001 - 1.000.000,N
SMA-IPA,KABUPATEN SEKADAU,June,ORANG TUA,2.000.001 - 3.000.000,N
SMK AKUNTANSI,KABUPATEN KAYONG UTARA,June,ORANG TUA,2.000.001 - 3.000.000,N
SMA-IPA,KABUPATEN KAYONG UTARA,June,ORANG TUA,< 500.000,N
SMA-IPA,KABUPATEN KAYONG UTARA,June,ORANG TUA,1.000.001 - 1.500.000,N
SMA-IPA,KABUPATEN KAYONG UTARA,June,ORANG TUA,> 5.000.000,Y
SMA-IPA,KOTA PONTIANAK,June,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPS,KOTA PONTIANAK,June,ORANG TUA,2.000.001 - 3.000.000,Y
SMA-IPS,KABUPATEN SAMBAS,June,ORANG TUA,2.000.001 - 3.000.000,N
SPK KEPERAWATAN,KABUPATEN MEMPAWAH,June,ORANG TUA,1.500.001 - 2.000.000,N
SMK AKUNTANSI,KABUPATEN SANGGAU,June,ORANG TUA,1.500.001 - 2.000.000,N
SMA-IPA,KABUPATEN SANGGAU,June,ORANG TUA,1.000.001 - 1.500.000,N
STM-PEMBANGUNAN,KABUPATEN SINTANG,June,ORANG TUA,2.000.001 - 3.000.000,N
SMA-IPA,KABUPATEN LANDAK,June,ORANG TUA,500.001 - 1.000.000,N
SMK AKUNTANSI,KABUPATEN LANDAK,June,ORANG TUA,1.000.001 - 1.500.000,N
SMA-IPS,KABUPATEN SEKADAU,June,ORANG TUA,1.500.001 - 2.000.000,N
SMA-IPS,KABUPATEN MELAWI,June,ORANG TUA,1.500.001 - 2.000.000,N
SMK KESJ. MASYARAKAT,KABUPATEN KAYONG UTARA,June,ORANG TUA,2.000.001 - 3.000.000,N
MA AGAMA,KOTA PONTIANAK,June,ORANG TUA,500.001 - 1.000.000,N
SMA-IPS,KABUPATEN KETAPANG,June,ORANG TUA,500.001 - 1.000.000,Y
MA AGAMA,KABUPATEN MELAWI,June,ORANG TUA,1.500.001 - 2.000.000,N
STM-MESIN,KABUPATEN MELAWI,June,ORANG TUA,2.000.001 - 3.000.000,Y
SMA-IPA,KOTA PONTIANAK,June,BEASISWA,1.000.001 - 1.500.000,Y
MA IPA,KOTA SINGKAWANG,June,ORANG TUA,> 5.000.000,N
SMA-IPA,KABUPATEN SANGGAU,June,ORANG TUA,500.001 - 1.000.000,N
SMA-IPS,KABUPATEN SINTANG,June,ORANG TUA,2.000.001 - 3.000.000,N
SMA-IPS,KABUPATEN KAPUAS HULU,June,ORANG TUA,< 500.000,Y
SMA-IPS,KABUPATEN MELAWI,June,ORANG TUA,500.001 - 1.000.000,Y
SMA-IPS,KABUPATEN KUBU RAYA,June,BEASISWA,< 500.000,Y
SMA-IPS,KABUPATEN KUBU RAYA,June,ORANG TUA,3.000.001 - 5.000.000,N
SMK PERTANIAN,KABUPATEN KAYONG UTARA,June,ORANG TUA,1.500.001 - 2.000.000,Y
SMA-IPA,KABUPATEN KUBU RAYA,June,ORANG TUA,500.001 - 1.000.000,N
SMA-IPS,KABUPATEN KUBU RAYA,June,ORANG TUA,500.001 - 1.000.000,Y
SMA-IPS,KABUPATEN MEMPAWAH,June,ORANG TUA,1.000.001 - 1.500.000,N
SMK AKUNTANSI,KOTA PONTIANAK,June,ORANG TUA,3.000.001 - 5.000.000,N
SMA-IPS,KABUPATEN MEMPAWAH,June,ORANG TUA,< 500.000,N
MA IPA,KABUPATEN SANGGAU,June,ORANG TUA,1.000.001 - 1.500.000,N
SMA-IPS,KABUPATEN KAPUAS HULU,June,ORANG TUA,1.500.001 - 2.000.000,N
MA AGAMA,KABUPATEN MELAWI,June,ORANG TUA,1.500.001 - 2.000.000,N
SMA-IPA,KABUPATEN KUBU RAYA,June,ORANG TUA,1.500.001 - 2.000.000,N
SMA-IPA,KABUPATEN KUBU RAYA,June,ORANG TUA,1.000.001 - 1.500.000,N
SMA-IPS,KABUPATEN SAMBAS,June,ORANG TUA,< 500.000,Y
SMK INFORMATIKA,KABUPATEN SAMBAS,June,ORANG TUA,2.000.001 - 3.000.000,Y
SMA-IPS,KABUPATEN SAMBAS,June,ORANG TUA,1.000.001 - 1.500.000,N
SMA-IPA,KABUPATEN KETAPANG,June,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPA,KABUPATEN LANDAK,June,ORANG TUA,1.500.001 - 2.000.000,N
SMA-IPS,KABUPATEN KUBU RAYA,June,ORANG TUA,3.000.001 - 5.000.000,N
SMA-IPS,KOTA PONTIANAK,June,ORANG TUA,1.000.001 - 1.500.000,N
SMA-IPA,KOTA SINGKAWANG,June,ORANG TUA,500.001 - 1.000.000,N
SMK Perkantoran,KABUPATEN MEMPAWAH,June,ORANG TUA,1.000.001 - 1.500.000,N
SMA-IPS,KABUPATEN MELAWI,June,ORANG TUA,500.001 - 1.000.000,N
SMA-IPA,KOTA SINGKAWANG,June,ORANG TUA,1.000.001 - 1.500.000,N
SMA-IPS,KABUPATEN KETAPANG,June,ORANG TUA,1.000.001 - 1.500.000,N
MA IPS,KABUPATEN KAPUAS HULU,June,ORANG TUA,< 500.000,N
SPP-SMF,KOTA PONTIANAK,June,ORANG TUA,3.000.001 - 5.000.000,N
SMA-IPS,KOTA PONTIANAK,June,ORANG TUA,3.000.001 - 5.000.000,N
MA AGAMA,KABUPATEN SAMBAS,June,ORANG TUA,1.000.001 - 1.500.000,Y
STM-MESIN,KABUPATEN SANGGAU,June,ORANG TUA,2.000.001 - 3.000.000,Y
MA AGAMA,KOTA PONTIANAK,June,ORANG TUA,1.500.001 - 2.000.000,Y
SMA-IPS,KABUPATEN SINTANG,June,ORANG TUA,1.500.001 - 2.000.000,Y
SMA-IPS,KABUPATEN SINTANG,June,ORANG TUA,1.000.001 - 1.500.000,Y
SMA-IPS,KOTA PONTIANAK,June,ORANG TUA,1.500.001 - 2.000.000,Y
SMA-IPA,KABUPATEN SEKADAU,June,ORANG TUA,3.000.001 - 5.000.000,N
SMA-IPA,KABUPATEN SEKADAU,June,ORANG TUA,1.500.001 - 2.000.000,N
MA IPS,KABUPATEN MELAWI,June,ORANG TUA,1.500.001 - 2.000.000,N
SMK INFORMATIKA,KABUPATEN KUBU RAYA,June,ORANG TUA,500.001 - 1.000.000,N
SMA AGAMA,KABUPATEN KUBU RAYA,June,ORANG TUA,1.500.001 - 2.000.000,Y
SMA-IPA,KABUPATEN SAMBAS,June,ORANG TUA,2.000.001 - 3.000.000,N
MA IPS,KABUPATEN SINTANG,June,ORANG TUA,1.500.001 - 2.000.000,Y
SMK INFORMATIKA,KABUPATEN SINTANG,June,ORANG TUA,1.500.001 - 2.000.000,N
SMA-IPS,KABUPATEN LANDAK,June,ORANG TUA,500.001 - 1.000.000,Y
SMA-IPS,KABUPATEN MELAWI,June,ORANG TUA,1.000.001 - 1.500.000,Y
SMA-IPA,KABUPATEN KUBU RAYA,June,ORANG TUA,1.500.001 - 2.000.000,N
SMA-IPS,KABUPATEN KUBU RAYA,June,ORANG TUA,3.000.001 - 5.000.000,N
SMK-MEKANIK,KOTA PONTIANAK,June,ORANG TUA,1.500.001 - 2.000.000,N
SMA-IPS,KABUPATEN SANGGAU,June,ORANG TUA,1.500.001 - 2.000.000,Y
SMA-IPA,KABUPATEN SANGGAU,June,ORANG TUA,< 500.000,N
SMA-IPS,KABUPATEN SANGGAU,June,ORANG TUA,1.000.001 - 1.500.000,N
SMA-IPA,KOTA PONTIANAK,June,ORANG TUA,< 500.000,Y
SMK KESJ. MASYARAKAT,KABUPATEN KETAPANG,June,ORANG TUA,< 500.000,N
MA IPA,KABUPATEN LANDAK,June,ORANG TUA,1.500.001 - 2.000.000,N
MA IPS,KABUPATEN KUBU RAYA,June,ORANG TUA,2.000.001 - 3.000.000,N
SMA-IPS,KABUPATEN KUBU RAYA,June,ORANG TUA,2.000.001 - 3.000.000,N
SMK PARIWISATA,KABUPATEN SINTANG,June,ORANG TUA,2.000.001 - 3.000.000,Y
SMK AKUNTANSI,KABUPATEN KUBU RAYA,June,ORANG TUA,2.000.001 - 3.000.000,Y
STM ELEKTRONIKA,KABUPATEN SINTANG,June,ORANG TUA,2.000.001 - 3.000.000,Y
SMA-IPA,KABUPATEN KETAPANG,June,ORANG TUA,2.000.001 - 3.000.000,N
STM-MESIN,KOTA PONTIANAK,June,ORANG TUA,500.001 - 1.000.000,N
SMA-IPS,KABUPATEN KAPUAS HULU,June,ORANG TUA,1.500.001 - 2.000.000,Y
SMK PERTANIAN,KABUPATEN KAYONG UTARA,June,ORANG TUA,500.001 - 1.000.000,N
SMA-IPA,KABUPATEN KUBU RAYA,June,ORANG TUA,< 500.000,N
MA IPS,KABUPATEN SAMBAS,June,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPS,KABUPATEN KETAPANG,June,ORANG TUA,2.000.001 - 3.000.000,N
SMA-IPS,KABUPATEN KETAPANG,June,ORANG TUA,2.000.001 - 3.000.000,Y
MA IPA,KABUPATEN KAPUAS HULU,June,ORANG TUA,500.001 - 1.000.000,Y
SMA-IPS,KABUPATEN SEKADAU,June,ORANG TUA,< 500.000,N
SMA-IPS,KOTA PONTIANAK,June,ORANG TUA,1.500.001 - 2.000.000,Y
SMA-IPA,KOTA PONTIANAK,June,ORANG TUA,1.000.001 - 1.500.000,N
SMA-IPA,KOTA SINGKAWANG,June,ORANG TUA,3.000.001 - 5.000.000,N
MA IPA,KABUPATEN KETAPANG,June,ORANG TUA,3.000.001 - 5.000.000,N
SMK Perkantoran,KABUPATEN SINTANG,June,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPA,KOTA PONTIANAK,June,ORANG TUA,2.000.001 - 3.000.000,Y
SMA-IPS,KABUPATEN KAPUAS HULU,June,ORANG TUA,1.000.001 - 1.500.000,Y
SMA-IPS,KABUPATEN SAMBAS,June,ORANG TUA,500.001 - 1.000.000,N
MA AGAMA,KABUPATEN MEMPAWAH,June,ORANG TUA,< 500.000,Y
SMA-IPS,KABUPATEN KAPUAS HULU,June,ORANG TUA,1.000.001 - 1.500.000,N
SMA-IPA,KABUPATEN KAPUAS HULU,June,ORANG TUA,< 500.000,N
SMA-IPS,KABUPATEN BENGKAYANG,June,ORANG TUA,3.000.001 - 5.000.000,Y
SMK INFORMATIKA,KOTA PONTIANAK,June,ORANG TUA,1.500.001 - 2.000.000,Y
SMA-IPA,KABUPATEN SAMBAS,July,ORANG TUA,< 500.000,N
SMA-IPA,KABUPATEN SINTANG,July,ORANG TUA,2.000.001 - 3.000.000,N
SMA-IPS,KABUPATEN KUBU RAYA,July,ORANG TUA,2.000.001 - 3.000.000,Y
SMK INFORMATIKA,KOTA PONTIANAK,July,ORANG TUA,1.000.001 - 1.500.000,N
MA IPA,KOTA PONTIANAK,July,ORANG TUA,2.000.001 - 3.000.000,N
MA IPS,KOTA PONTIANAK,July,ORANG TUA,1.000.001 - 1.500.000,Y
SMA-IPA,KABUPATEN KUBU RAYA,July,ORANG TUA,2.000.001 - 3.000.000,Y
SMA-IPA,KABUPATEN SINTANG,July,ORANG TUA,1.500.001 - 2.000.000,Y
SMA-IPS,KOTA PONTIANAK,July,ORANG TUA,> 5.000.000,N
SMK INFORMATIKA,KABUPATEN KUBU RAYA,July,ORANG TUA,< 500.000,N
MA IPS,KABUPATEN KUBU RAYA,July,ORANG TUA,3.000.001 - 5.000.000,N
SMK INFORMATIKA,KABUPATEN LANDAK,July,ORANG TUA,500.001 - 1.000.000,N
SMA-IPS,KABUPATEN SAMBAS,July,ORANG TUA,500.001 - 1.000.000,Y
SMK-MEKANIK,KOTA SINGKAWANG,July,ORANG TUA,1.000.001 - 1.500.000,Y
SMA-IPA,KABUPATEN SANGGAU,July,ORANG TUA,2.000.001 - 3.000.000,N
SMA-IPS,KABUPATEN KAPUAS HULU,July,ORANG TUA,1.000.001 - 1.500.000,N
SMA-IPS,KABUPATEN KAPUAS HULU,July,ORANG TUA,1.500.001 - 2.000.000,N
SMA-IPS,KABUPATEN MELAWI,July,ORANG TUA,< 500.000,N
SMK TEKNIK INDUSTRI,KOTA PONTIANAK,July,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPA,KABUPATEN KUBU RAYA,July,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPA,KABUPATEN KUBU RAYA,July,ORANG TUA,1.500.001 - 2.000.000,Y
SMA-IPS,KABUPATEN KUBU RAYA,July,ORANG TUA,1.500.001 - 2.000.000,Y
SMA-IPA,KOTA PONTIANAK,July,ORANG TUA,3.000.001 - 5.000.000,N
SMK AKUNTANSI,KOTA PONTIANAK,July,ORANG TUA,1.500.001 - 2.000.000,N
SMK Perkantoran,KABUPATEN MELAWI,July,ORANG TUA,2.000.001 - 3.000.000,N
SMA-IPS,KABUPATEN KETAPANG,July,ORANG TUA,> 5.000.000,N
MA IPS,KABUPATEN KETAPANG,July,ORANG TUA,2.000.001 - 3.000.000,N
SMA-IPS,KABUPATEN SEKADAU,July,ORANG TUA,500.001 - 1.000.000,N
SMA-IPS,KOTA PONTIANAK,July,ORANG TUA,2.000.001 - 3.000.000,Y
SMA-IPA,KOTA PONTIANAK,July,ORANG TUA,< 500.000,N
SMK INFORMATIKA,KABUPATEN MEMPAWAH,July,ORANG TUA,1.000.001 - 1.500.000,N
SMA-IPA,KABUPATEN SANGGAU,July,ORANG TUA,3.000.001 - 5.000.000,N
SMA-IPS,KABUPATEN SANGGAU,July,ORANG TUA,> 5.000.000,N
SMK AKUNTANSI,KABUPATEN SANGGAU,July,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPA,KABUPATEN KAPUAS HULU,July,ORANG TUA,2.000.001 - 3.000.000,Y
MA IPS,KOTA SINGKAWANG,July,ORANG TUA,< 500.000,N
MA IPS,KOTA PONTIANAK,July,ORANG TUA,> 5.000.000,Y
SMK INFORMATIKA,KABUPATEN SINTANG,July,ORANG TUA,500.001 - 1.000.000,Y
MA IPA,KABUPATEN KUBU RAYA,July,ORANG TUA,2.000.001 - 3.000.000,Y
MA IPA,KABUPATEN MEMPAWAH,July,ORANG TUA,500.001 - 1.000.000,Y
SMA-IPA,KABUPATEN KETAPANG,July,ORANG TUA,500.001 - 1.000.000,N
